COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
4369;35973;3699;2346;42;5760
3333;28214;2902;1797;32;4466
5028;38736;4487;2772;54;6791
4905;38550;4586;2675;47;6859
2791;26287;2600;1342;24;4072
16002;149496;13821;8113;218;21908
;998;10;0;;15
18;1658;32;;;52
;206;;0;;14
;263;;;;16
58;1054;46;21;;85
130;1892;104;54;;182
230;2500;175;111;;296
366;3370;278;178;;472
528;4469;407;257;;686
747;5979;588;384;;960
1123;8607;912;604;13;1442
3182;24045;2723;1726;53;4226
2490;18847;2158;1351;45;3338
3674;30349;3291;2007;52;5007
4124;37872;3696;2141;52;5724
3761;44331;3109;1620;39;5285
1717;37699;2910;888;42;3779
;230;;;0;
;367;19;;;23
;39;;;0;
;60;;;;
10;271;;;0;16
20;476;17;;0;30
28;602;28;12;0;44
48;807;46;24;;71
77;1047;70;37;;112
102;1391;96;50;;149
140;2060;143;76;;207
368;5737;432;202;;604
284;4469;344;156;;478
385;7303;575;217;;751
329;8304;659;181;10;817
459;13314;1066;204;14;1334
1027;20341;1685;554;22;2179
;127;;;0;
;220;11;;;15
;26;;;0;
0;39;;0;;
;205;;;0;13
15;349;12;;0;23
17;438;23;;0;32
31;578;33;16;0;48
49;717;44;22;;72
66;935;68;33;;102
104;1357;102;58;;148
240;3725;265;132;;376
174;2898;205;96;;286
242;4554;368;138;;475
206;4697;412;117;;508
222;5283;516;112;;632
690;17358;1225;334;20;1600
0;103;;0;0;
;147;;;0;
0;13;;0;0;
;21;;;0;
;66;;;0;
;127;;;0;
11;164;;;0;12
17;229;13;;;23
28;330;26;15;;40
36;456;28;17;0;47
36;703;41;18;0;59
128;2012;167;70;;228
110;1571;139;60;;192
143;2749;207;79;;276
123;3607;247;64;;309
237;8031;550;92;;702
5387;51287;4418;2739;91;7150
;274;0;0;0;
;556;10;;;14
;62;;0;0;
0;100;;0;0;
12;595;14;;;22
24;920;21;11;;35
33;995;26;15;;45
66;1237;56;35;;89
119;1479;83;57;;147
190;1830;127;94;;226
317;2544;253;185;;387
893;7530;727;487;11;1144
693;6024;557;365;11;896
1239;10574;1066;717;21;1607
1501;13656;1314;794;24;2043
1470;14984;1097;600;28;1992
3144;27408;2524;1633;50;4080
;139;0;0;0;
;320;;;0;
0;40;;0;0;
0;62;;0;0;
;441;;;0;13
17;676;11;;0;22
24;694;14;10;0;28
37;828;28;18;;48
65;947;44;30;;81
118;1161;78;58;;141
207;1620;166;124;;251
581;4551;448;313;;723
449;3593;334;228;;562
735;6154;609;405;13;950
926;7434;803;499;14;1243
727;6284;541;333;12;945
2243;23879;1894;1106;41;3070
0;135;0;0;0;0
;236;;0;;
;22;0;0;0;
0;38;;0;0;
;154;;;;
;244;10;;;13
;301;12;;;17
29;409;28;17;;41
54;532;39;27;0;66
72;669;49;36;0;85
110;924;87;61;0;136
312;2979;279;174;;421
244;2431;223;137;;334
504;4420;457;312;;657
575;6222;511;295;10;800
743;8700;556;267;16;1047
36966;363904;35847;19242;431;53978
;1986;34;;;39
33;3573;78;12;;107
;360;15;;;21
13;594;21;;;31
82;3976;82;37;;130
204;6896;195;102;;302
365;7764;299;164;;504
576;9277;475;276;;783
845;11053;693;407;13;1144
1331;14084;1061;649;11;1752
2032;20201;1760;1074;17;2733
5969;59078;5738;3359;84;8428
4766;46974;4643;2707;72;6770
8014;72708;8079;4556;77;11608
9560;87357;9852;5264;99;14241
11279;110931;10369;5024;139;16757
20275;188590;19678;11020;186;29107
;1107;22;;;25
21;2101;46;;;62
;189;;;;
10;331;11;;;17
48;2965;46;20;;75
131;5139;118;63;;189
231;5652;185;103;;315
357;6457;292;173;;480
549;7376;433;258;;731
897;9165;665;435;;1133
1345;12955;1095;703;11;1747
3801;36790;3485;2119;43;5208
3019;29077;2807;1707;36;4153
4842;41795;4821;2761;42;6941
5368;44648;5522;3054;41;7874
4858;42495;4729;2407;43;7220
16691;175314;16169;8222;245;24871
;879;12;0;0;14
12;1472;32;;;45
;171;;0;;12
;263;10;;;14
34;1011;36;17;;55
73;1757;77;39;;113
134;2112;114;61;;189
219;2820;183;103;;303
296;3677;260;149;;413
434;4919;396;214;;619
687;7246;665;371;;986
2168;22288;2253;1240;41;3220
1747;17897;1836;1000;36;2617
3172;30913;3258;1795;35;4667
4192;42709;4330;2210;58;6367
6421;68436;5640;2617;96;9537
25649;230499;24793;13486;370;37299
14;1512;24;;;38
46;2607;65;15;;104
12;279;13;;;23
;416;18;;;25
66;2648;73;36;;104
117;4607;130;62;;187
201;5382;212;107;;311
323;6357;314;172;11;476
504;7442;501;296;14;722
847;9539;844;518;16;1188
1346;13368;1320;809;24;1879
4202;38988;4468;2546;74;6189
3383;31051;3660;2054;60;5042
5788;48720;6104;3418;78;8546
7001;57164;6887;3764;99;10217
7325;62517;5981;2991;81;10392
13618;119555;13576;7664;167;19682
;831;12;;0;20
26;1519;33;;;53
;147;;;;10
;251;;;;10
37;1920;37;17;0;57
65;3303;70;34;;102
118;3713;130;69;;181
187;4238;190;106;;274
299;4793;289;178;;414
535;6009;503;323;10;724
821;8301;772;498;11;1106
2505;23644;2530;1501;31;3562
2025;18757;2073;1205;27;2917
3361;27790;3568;2030;39;4934
3849;29194;3888;2196;48;5585
3090;23858;2794;1466;32;4448
12031;110944;11217;5822;203;17617
;681;12;0;;18
20;1088;32;;;51
;132;;;;13
;165;10;;;15
29;728;36;19;;47
52;1304;60;28;;85
83;1669;82;38;;130
136;2119;124;66;;202
205;2649;212;118;;308
312;3530;341;195;;464
525;5067;548;311;13;773
1697;15344;1938;1045;43;2627
1358;12294;1587;849;33;2125
2427;20930;2536;1388;39;3612
3152;27970;2999;1568;51;4632
4235;38659;3187;1525;49;5944
10472;102020;8660;3927;227;15422
;430;11;0;;17
10;836;19;0;;32
;95;;0;;
;166;;0;0;
11;780;10;;;19
36;1266;28;12;;54
67;1446;48;24;;93
117;1845;70;36;;152
177;2366;120;66;;232
265;3122;198;117;;349
454;4634;350;197;11;617
1469;14612;1258;646;29;2108
1179;11764;1027;521;21;1704
1988;19704;1809;884;44;2954
2785;25383;2318;1061;61;4100
3802;35252;2960;1171;82;5673
5597;52376;4722;2252;95;8155
;248;;0;;10
;504;11;0;;17
0;60;;0;;
;102;;0;0;
;574;;;;11
13;929;14;;;24
28;1008;27;12;0;43
71;1239;42;21;0;92
110;1553;72;42;;141
151;1996;119;75;;198
280;2924;215;123;;377
919;9077;760;407;13;1283
732;7276;615;329;10;1026
1164;11530;1058;516;21;1724
1606;13371;1324;634;29;2323
1669;13730;1394;595;26;2494
4875;49644;3938;1675;132;7267
;182;;0;0;
;332;;0;;15
;35;;0;;
0;64;;0;0;
;206;;;0;
23;337;14;;;30
39;438;21;12;;50
46;606;28;15;;60
67;813;48;24;0;91
114;1126;79;42;;151
174;1710;135;74;;240
550;5535;498;239;16;825
447;4488;412;192;11;678
824;8174;751;368;23;1230
1179;12012;994;427;32;1777
2133;21522;1566;576;56;3179
9661;91952;8333;4327;245;13900
;518;10;0;;14
12;956;20;;;33
;82;;0;;
;163;;;;10
27;1083;21;10;0;38
53;1671;43;25;;73
77;1791;67;38;;110
137;2244;117;66;;191
235;2849;180;114;;305
380;3492;260;166;11;484
544;4589;419;255;12;719
1555;14169;1356;799;39;2151
1243;11457;1091;639;35;1730
2047;18526;1877;1019;47;2948
2526;22226;2252;1170;70;3673
2951;28668;2408;1079;69;4347
5303;47729;4595;2501;107;7497
;294;;0;0;
;569;11;;;15
0;46;;0;;
;95;;;0;
19;816;14;;0;26
39;1251;34;19;;56
48;1275;48;26;;73
87;1510;79;44;;124
148;1815;109;71;;190
237;2154;155;101;;297
341;2794;249;156;;440
931;8521;774;472;19;1252
738;6870;622;376;16;1000
1183;10809;1107;604;20;1703
1489;11595;1296;722;30;2090
1331;11320;1139;536;27;1960
4358;44223;3738;1826;138;6403
;224;;0;;
;387;;0;;18
;36;;0;;
;68;;0;;
;267;;;0;12
14;420;;;0;17
29;516;19;12;;37
50;734;38;22;;67
87;1034;71;43;0;115
143;1338;105;65;;187
203;1795;170;99;;279
624;5648;582;327;20;899
505;4587;469;263;19;730
864;7717;770;415;27;1245
1037;10631;956;448;40;1583
1620;17348;1269;543;42;2387
18837;169137;20276;9773;347;29649
;820;13;;0;17
19;1501;26;;;46
;160;;0;0;
;271;;0;;16
47;1773;42;18;;77
95;3165;83;37;;147
156;3950;126;65;;220
264;5357;257;131;;396
443;6819;469;243;;678
682;8473;716;378;14;1034
1156;11688;1201;639;17;1735
3493;32676;3914;1993;76;5480
2737;25691;3137;1575;67;4356
4609;37861;5305;2649;91;7347
5198;42001;5793;2767;75;8291
4477;38103;4182;1816;75;6908
9735;88389;10838;5321;161;15395
;458;;0;0;
;872;12;;;21
;90;;0;0;
;154;;0;;
35;1254;30;13;;54
63;2213;45;20;;90
94;2733;68;34;;130
154;3589;150;80;;228
246;4361;257;135;;374
396;5271;393;212;;585
682;7196;663;368;10;987
2014;19586;2206;1130;35;3119
1574;15285;1779;893;29;2483
2614;21280;3004;1520;43;4136
2722;21150;3147;1515;32;4385
1763;14428;1881;843;35;2831
9102;80748;9438;4452;186;14254
;362;;;0;
10;629;14;;;25
;70;;0;0;
;117;;0;;11
12;519;12;;;23
32;952;38;17;;57
62;1217;58;31;;90
110;1768;107;51;;168
197;2458;212;108;;304
286;3202;323;166;;449
474;4492;538;271;;748
1479;13090;1708;863;41;2361
1163;10406;1358;682;38;1873
1995;16581;2301;1129;48;3211
2476;20851;2646;1252;43;3906
2714;23675;2301;973;40;4077
16955;161771;14226;8640;175;22701
11;1135;25;;;34
32;2127;65;10;;90
;264;17;;0;19
10;347;16;;;26
72;2313;57;32;;100
134;3859;118;63;;191
226;4530;188;106;;311
372;5786;284;185;;480
555;7044;420;288;;694
810;8360;562;401;;978
1223;10959;901;631;19;1511
3483;31080;2884;1867;49;4541
2730;24620;2289;1463;36;3585
4237;35750;3637;2300;43;5612
4438;38236;3755;2259;36;5969
3449;36573;2921;1555;25;4840
9194;86260;7727;4770;84;12226
;623;14;;0;17
18;1258;39;;0;49
;146;10;;0;11
;205;11;;0;14
40;1709;30;15;;56
75;2816;63;33;;106
127;3136;97;56;;169
202;3867;146;88;;264
311;4601;231;152;;394
477;5347;320;232;;568
738;6906;510;377;;878
2034;18936;1651;1084;24;2620
1578;14898;1316;840;19;2068
2473;20571;2140;1353;25;3282
2418;19519;2048;1244;17;3238
1497;13946;1320;728;10;2099
7761;75511;6499;3870;91;10475
;512;11;;;17
14;869;26;;;41
;118;;0;0;
;142;;0;;12
32;604;27;17;;44
59;1043;55;30;;85
99;1394;91;50;;142
170;1919;138;97;;216
244;2443;189;136;;300
333;3013;242;169;;410
485;4053;391;254;12;633
1449;12144;1233;783;25;1921
1152;9722;973;623;17;1517
1764;15179;1497;947;18;2330
2020;18717;1707;1015;19;2731
1952;22627;1601;827;15;2741
2936;49593;3453;785;90;5691
;205;;;0;
;343;;;;
0;37;0;0;;
;48;;;;
;331;;;;
;632;12;;;19
16;868;22;;;36
30;1191;29;;;57
56;1455;44;16;;87
86;1714;69;26;;131
127;2465;123;35;;218
427;7568;469;123;;782
348;6039;385;101;;640
597;9875;734;203;12;1140
865;12704;1044;242;23;1688
918;15566;1093;181;36;1865
1540;26137;1998;455;38;3119
0;109;0;0;0;0
;199;0;0;;
0;25;0;0;;
;30;0;0;0;
;249;;;0;
;466;;;0;12
;627;12;0;0;20
15;851;17;;;34
36;1004;25;;;56
55;1128;35;14;;77
81;1604;73;21;;135
279;4877;284;75;;494
227;3873;230;61;;401
369;5805;453;133;;695
462;6656;633;150;13;956
353;6155;568;80;;849
1396;23456;1455;330;52;2572
;96;;;0;
;144;;;;
0;12;0;0;;
;18;;;;
;82;;0;;
;166;;0;;
;241;10;;;16
15;340;12;;;23
20;451;19;;0;31
31;586;34;12;;54
46;861;50;14;;83
148;2691;185;48;;288
