Ecode;TotalECodes;e0;e1;e2;e3;e4
E906.5;303;302;1;;;
E906.8;2361;2223;118;14;3;3
E906.9;79;77;1;1;;
E907;13;12;1;;;
E908.1;8;8;;;;
E908.3;1;1;;;;
E908.4;1;1;;;;
E908.8;1;1;;;;
E908.9;5;5;;;;
E909.0;2;2;;;;
E909.1;19;19;;;;
E909.2;1;1;;;;
E909.3;1;1;;;;
E909.8;1;1;;;;
E910.0;20;20;;;;
E910.1;7;6;1;;;
E910.2;91;86;5;;;
E910.3;37;36;;1;;
E910.4;33;33;;;;
E910.8;230;220;8;2;;
E910.9;41;39;2;;;
E911;373;367;4;1;1;
E912;406;402;4;;;
E913.0;2;2;;;;
E913.2;3;3;;;;
E913.3;3;3;;;;
E913.8;28;28;;;;
E913.9;1;1;;;;
E914;7434;7353;58;16;5;2
E915;18858;18758;69;16;11;4
E916;16587;15390;1158;35;1;3
E917.0;32419;32104;246;61;6;2
E917.1;198;196;1;1;;
E917.2;71;65;6;;;
E917.3;9326;9152;146;20;7;1
E917.4;19747;19377;308;39;15;8
E917.5;4124;4089;30;4;1;
E917.6;101;98;3;;;
E917.7;1934;1860;65;6;1;2
E917.8;2791;2673;110;8;;
E917.9;66504;65515;864;85;28;12
E918;17467;17175;266;21;1;4
E919.0;62;58;3;;;1
E919.1;11;11;;;;
E919.2;306;290;16;;;
E919.3;262;246;11;4;1;
E919.4;1357;1338;15;3;1;
E919.5;32;31;1;;;
E919.6;85;79;4;2;;
E919.7;35;34;;1;;
E919.8;1240;1208;26;6;;
E919.9;328;317;9;1;;1
E920.0;153;151;1;1;;
E920.1;3816;3763;48;4;1;
E920.2;1096;1079;16;1;;
E920.3;19008;18795;186;21;4;2
E920.4;6102;5966;114;13;7;2
E920.5;2678;2659;12;6;1;
E920.8;51043;47024;3806;172;28;13
E920.9;4908;4584;311;10;2;1
E921.0;9;9;;;;
E921.1;14;14;;;;
E921.8;45;44;1;;;
E921.9;5;5;;;;
E922.0;141;139;1;1;;
E922.1;32;32;;;;
